index,loss rate,depolarizing rate,gate error rate,memory error,measurement error,number of hops,trajectory,experiment,fidelity,total time,fidelity estimation time,fidelity estimated edges,label resource produced,base Bell pairs attempted,distance,XX commute,XX anti-commute,YY commute,YY anti-commute,ZZ commute,ZZ anti-commute
0,0.3,0.025,0.0,0.01,0.0,2,4,1-2G-DirectedEncoded,0.507,20.744399999968998,20.743223333302343,"Node 0, Node 2",9001,2162460,100,2023,977,1964,1036,2055,945
0,0.3,0.025,0.0,0.01,0.0,2,4,HG-END2ENDPurifiedEncoded,0.8291666666666667,33.903809999847034,33.89719999984706,"Node 0, Node 2",9001,3356543,100,2828,172,2523,477,2624,376
0,0.3,0.025,0.0,0.01,0.0,2,4,2G-NonLocalCNOT,0.3005,42.38777333311878,42.38221333311881,"Node 0, Node 2",9001,3988974,100,1651,1349,1536,1464,1616,1384
0,0.3,0.025,0.0,0.01,0.0,2,5,0G,0.684,5.301343333337151,5.29990000000382,"Node 0, Node 2",9001,565411,100,2403,597,2265,735,2436,564
0,0.3,0.025,0.0,0.01,0.0,2,5,E2E-1G-Ss-Dp,0.5943333333333334,34.39456666650974,34.385346666509754,"Node 0, Node 2",9001,3407243,100,2298,702,2129,871,2139,861
0,0.3,0.025,0.0,0.01,0.0,2,5,1G-Ss-Dp,0.4678333333333333,20.64300666663694,20.64125333330362,"Node 0, Node 2",9001,2155806,100,1994,1006,1841,1159,1972,1028
0,0.3,0.025,0.0,0.01,0.0,2,5,1-2G-DirectedEncoded,0.5096666666666667,20.589766666637264,20.585969999970636,"Node 0, Node 2",9001,2140869,100,2043,957,1949,1051,2066,934
0,0.3,0.025,0.0,0.01,0.0,2,5,HG-END2ENDPurifiedEncoded,0.8446666666666667,34.59909999984145,34.59531666650817,"Node 0, Node 2",9001,3428457,100,2849,151,2567,433,2652,348
0,0.3,0.025,0.0,0.01,0.0,2,5,2G-NonLocalCNOT,0.3076666666666667,42.37824666645141,42.375149999784796,"Node 0, Node 2",9001,3986262,100,1672,1328,1526,1474,1648,1352
0,0.3,0.025,0.0,0.01,0.0,2,6,0G,0.6699999999999999,5.3640133333372155,5.36372000000388,"Node 0, Node 2",9001,569504,100,2391,609,2285,715,2344,656
0,0.3,0.025,0.0,0.01,0.0,2,6,E2E-1G-Ss-Dp,0.5883333333333334,34.74776999983965,34.746553333172976,"Node 0, Node 2",9001,3446714,100,2257,743,2103,897,2170,830
0,0.3,0.025,0.0,0.01,0.0,2,6,1G-Ss-Dp,0.463,20.65374666663667,20.65311999997001,"Node 0, Node 2",9001,2157212,100,1990,1010,1862,1138,1926,1074
0,0.3,0.025,0.0,0.01,0.0,2,6,1-2G-DirectedEncoded,0.5008333333333334,20.77588999996871,20.773389999968735,"Node 0, Node 2",9001,2161677,100,2057,943,1938,1062,2010,990
0,0.3,0.025,0.0,0.01,0.0,2,6,HG-END2ENDPurifiedEncoded,0.8405000000000001,33.95751666651333,33.939926666513465,"Node 0, Node 2",9001,3369906,100,2835,165,2555,445,2653,347
0,0.3,0.025,0.0,0.01,0.0,2,6,2G-NonLocalCNOT,0.3158333333333333,42.336766666452206,42.33425666645223,"Node 0, Node 2",9001,3977091,100,1683,1317,1555,1445,1657,1343
0,0.3,0.025,0.0,0.01,0.0,2,7,0G,0.6798333333333333,5.3426033333371965,5.3423300000038605,"Node 0, Node 2",9001,569272,100,2420,580,2276,724,2383,617
0,0.3,0.025,0.0,0.01,0.0,2,7,E2E-1G-Ss-Dp,0.6033333333333334,34.54135333317537,34.53806999984209,"Node 0, Node 2",9001,3422696,100,2315,685,2125,875,2180,820
0,0.3,0.025,0.0,0.01,0.0,2,7,1G-Ss-Dp,0.459,20.723213333302652,20.717666666636035,"Node 0, Node 2",9001,2162680,100,1929,1071,1883,1117,1942,1058
0,0.3,0.025,0.0,0.01,0.0,2,7,1-2G-DirectedEncoded,0.522,20.715966666636064,20.71501666663607,"Node 0, Node 2",9001,2168378,100,2131,869,1972,1028,2029,971
0,0.3,0.025,0.0,0.01,0.0,2,7,HG-END2ENDPurifiedEncoded,0.8336666666666667,34.01576999984621,34.012329999846266,"Node 0, Node 2",9001,3376695,100,2839,161,2532,468,2631,369
0,0.3,0.025,0.0,0.01,0.0,2,7,2G-NonLocalCNOT,0.30566666666666664,42.2468999997852,42.24135999978524,"Node 0, Node 2",9001,3970782,100,1637,1363,1573,1427,1624,1376
0,0.3,0.025,0.0,0.01,0.0,2,8,0G,0.6731666666666667,5.295093333337145,5.29418333333714,"Node 0, Node 2",9001,563167,100,2382,618,2313,687,2344,656
0,0.3,0.025,0.0,0.01,0.0,2,8,E2E-1G-Ss-Dp,0.596,34.155383333178335,34.151903333178375,"Node 0, Node 2",9001,3387158,100,2283,717,2118,882,2175,825
0,0.3,0.025,0.0,0.01,0.0,2,8,1G-Ss-Dp,0.4676666666666667,20.60265999997047,20.600786666637156,"Node 0, Node 2",9001,2146961,100,1981,1019,1853,1147,1972,1028
0,0.3,0.025,0.0,0.01,0.0,2,8,1-2G-DirectedEncoded,0.5031666666666667,20.510199999971466,20.508796666638148,"Node 0, Node 2",9001,2141685,100,2076,924,1926,1074,2017,983
0,0.3,0.025,0.0,0.01,0.0,2,8,HG-END2ENDPurifiedEncoded,0.8325,34.01509999984581,34.01366666651246,"Node 0, Node 2",9001,3368156,100,2863,137,2527,473,2605,395
0,0.3,0.025,0.0,0.01,0.0,2,8,2G-NonLocalCNOT,0.2971666666666667,42.604529999783615,42.60078666645035,"Node 0, Node 2",9001,3999482,100,1593,1407,1548,1452,1642,1358
0,0.3,0.025,0.0,0.01,0.0,2,9,0G,0.6898333333333334,5.344190000003863,5.344050000003868,"Node 0, Node 2",9001,567959,100,2450,550,2301,699,2388,612
0,0.3,0.025,0.0,0.01,0.0,2,9,E2E-1G-Ss-Dp,0.6023333333333333,33.687816666515424,33.68372666651543,"Node 0, Node 2",9001,3340748,100,2290,710,2151,849,2173,827
0,0.3,0.025,0.0,0.01,0.0,2,9,1G-Ss-Dp,0.474,20.802829999968544,20.802466666635215,"Node 0, Node 2",9001,2160754,100,2058,942,1799,1201,1987,1013
