,depolarizing rate,fidelity,trajectory,result
0,0.0,1.0,0,Analytic
1,0.05,0.9189918674610739,0,Analytic
2,0.1,0.8105573424464685,0,Analytic
3,0.15000000000000002,0.6830144025156074,0,Analytic
4,0.2,0.5528455324274749,0,Analytic
5,0.25,0.4391268904255917,0,Analytic
6,0.30000000000000004,0.3547194184470815,0,Analytic
7,0.35000000000000003,0.30138936627225954,0,Analytic
8,0.4,0.2724182426161489,0,Analytic
9,0.45,0.25870268719641304,0,Analytic
10,0.5,0.25298271244217185,0,Analytic
11,0.55,0.2508782028799781,0,Analytic
12,0.6000000000000001,0.25020695135815274,0,Analytic
13,0.65,0.2500323267861489,0,Analytic
14,0.7000000000000001,0.2500017353172581,0,Analytic
15,0.75,0.25,0,Analytic
16,0.8,0.2500017353172581,0,Analytic
17,0.8500000000000001,0.2500323267861489,0,Analytic
18,0.9,0.25020695135815285,0,Analytic
19,0.9500000000000001,0.25087820287997803,0,Analytic
20,1.0,0.25298271244217185,0,Analytic
21,0.0,1.0,1,Analytic
22,0.05,0.9189918674610739,1,Analytic
23,0.1,0.8105573424464685,1,Analytic
24,0.15000000000000002,0.6830144025156074,1,Analytic
25,0.2,0.5528455324274749,1,Analytic
26,0.25,0.4391268904255917,1,Analytic
27,0.30000000000000004,0.3547194184470815,1,Analytic
28,0.35000000000000003,0.30138936627225954,1,Analytic
29,0.4,0.2724182426161489,1,Analytic
30,0.45,0.25870268719641304,1,Analytic
31,0.5,0.25298271244217185,1,Analytic
32,0.55,0.2508782028799781,1,Analytic
33,0.6000000000000001,0.25020695135815274,1,Analytic
34,0.65,0.2500323267861489,1,Analytic
35,0.7000000000000001,0.2500017353172581,1,Analytic
36,0.75,0.25,1,Analytic
37,0.8,0.2500017353172581,1,Analytic
38,0.8500000000000001,0.2500323267861489,1,Analytic
39,0.9,0.25020695135815285,1,Analytic
40,0.9500000000000001,0.25087820287997803,1,Analytic
41,1.0,0.25298271244217185,1,Analytic
42,0.0,1.0,2,Analytic
43,0.05,0.9189918674610739,2,Analytic
44,0.1,0.8105573424464685,2,Analytic
45,0.15000000000000002,0.6830144025156074,2,Analytic
46,0.2,0.5528455324274749,2,Analytic
47,0.25,0.4391268904255917,2,Analytic
48,0.30000000000000004,0.3547194184470815,2,Analytic
49,0.35000000000000003,0.30138936627225954,2,Analytic
50,0.4,0.2724182426161489,2,Analytic
51,0.45,0.25870268719641304,2,Analytic
52,0.5,0.25298271244217185,2,Analytic
53,0.55,0.2508782028799781,2,Analytic
54,0.6000000000000001,0.25020695135815274,2,Analytic
55,0.65,0.2500323267861489,2,Analytic
56,0.7000000000000001,0.2500017353172581,2,Analytic
57,0.75,0.25,2,Analytic
58,0.8,0.2500017353172581,2,Analytic
59,0.8500000000000001,0.2500323267861489,2,Analytic
60,0.9,0.25020695135815285,2,Analytic
61,0.9500000000000001,0.25087820287997803,2,Analytic
62,1.0,0.25298271244217185,2,Analytic
63,0.0,1.0,3,Analytic
64,0.05,0.9189918674610739,3,Analytic
65,0.1,0.8105573424464685,3,Analytic
66,0.15000000000000002,0.6830144025156074,3,Analytic
67,0.2,0.5528455324274749,3,Analytic
68,0.25,0.4391268904255917,3,Analytic
69,0.30000000000000004,0.3547194184470815,3,Analytic
70,0.35000000000000003,0.30138936627225954,3,Analytic
71,0.4,0.2724182426161489,3,Analytic
72,0.45,0.25870268719641304,3,Analytic
73,0.5,0.25298271244217185,3,Analytic
74,0.55,0.2508782028799781,3,Analytic
75,0.6000000000000001,0.25020695135815274,3,Analytic
76,0.65,0.2500323267861489,3,Analytic
77,0.7000000000000001,0.2500017353172581,3,Analytic
78,0.75,0.25,3,Analytic
79,0.8,0.2500017353172581,3,Analytic
80,0.8500000000000001,0.2500323267861489,3,Analytic
81,0.9,0.25020695135815285,3,Analytic
